count,data
314, 0  ms,  0  mm,  0  dBm 
315, 0  ms,  0  mm,  0  dBm 
316, 0  ms,  0  mm,  0  dBm 
317, 0  ms,  0  mm,  0  dBm 
318, 0  ms,  0  mm,  0  dBm 
319, 0  ms,  0  mm,  0  dBm 
320, 0  ms,  0  mm,  0  dBm 
321, 0  ms,  0  mm,  0  dBm 
322, 0  ms,  0  mm,  0  dBm 
323, 0  ms,  0  mm,  0  dBm 
324, 0  ms,  0  mm,  0  dBm 
325, 0  ms,  0  mm,  0  dBm 
326, 0  ms,  0  mm,  0  dBm 
327, 0  ms,  0  mm,  0  dBm 
328, 0  ms,  0  mm,  0  dBm 
329, 0  ms,  0  mm,  0  dBm 
330, 0  ms,  0  mm,  0  dBm 
331, 0  ms,  0  mm,  0  dBm 
332, 0  ms,  0  mm,  0  dBm 
333, 0  ms,  0  mm,  0  dBm 
334, 0  ms,  0  mm,  0  dBm 
335, 0  ms,  0  mm,  0  dBm 
336, 0  ms,  0  mm,  0  dBm 
337, 0  ms,  0  mm,  0  dBm 
338, 0  ms,  0  mm,  0  dBm 
339, 0  ms,  0  mm,  0  dBm 
340, 0  ms,  0  mm,  0  dBm 
341, 0  ms,  0  mm,  0  dBm 
342, 0  ms,  0  mm,  0  dBm 
343, 0  ms,  0  mm,  0  dBm 
344, 0  ms,  0  mm,  0  dBm 
345, 0  ms,  0  mm,  0  dBm 
346, 0  ms,  0  mm,  0  dBm 
347, 0  ms,  0  mm,  0  dBm 
348, 0  ms,  0  mm,  0  dBm 
349, 0  ms,  0  mm,  0  dBm 
350, 0  ms,  0  mm,  0  dBm 
351, 0  ms,  0  mm,  0  dBm 
352, 0  ms,  0  mm,  0  dBm 
353, 0  ms,  0  mm,  0  dBm 
354, 0  ms,  0  mm,  0  dBm 
355, 0  ms,  0  mm,  0  dBm 
356, 0  ms,  0  mm,  0  dBm 
357, 0  ms,  0  mm,  0  dBm 
358, 0  ms,  0  mm,  0  dBm 
359, 0  ms,  0  mm,  0  dBm 
360, 0  ms,  0  mm,  0  dBm 
361, 0  ms,  0  mm,  0  dBm 
362, 0  ms,  0  mm,  0  dBm 
363, 0  ms,  0  mm,  0  dBm 
364, 0  ms,  0  mm,  0  dBm 
365, 0  ms,  0  mm,  0  dBm 
366, 0  ms,  0  mm,  0  dBm 
367, 0  ms,  0  mm,  0  dBm 
368, 0  ms,  0  mm,  0  dBm 
369, 0  ms,  0  mm,  0  dBm 
370, 0  ms,  0  mm,  0  dBm 
371, 0  ms,  0  mm,  0  dBm 
372, 0  ms,  0  mm,  0  dBm 
373, 0  ms,  0  mm,  0  dBm 
374, 0  ms,  0  mm,  0  dBm 
375, 0  ms,  0  mm,  0  dBm 
376, 0  ms,  0  mm,  0  dBm 
377, 0  ms,  0  mm,  0  dBm 
378, 0  ms,  0  mm,  0  dBm 
379, 0  ms,  0  mm,  0  dBm 
380, 0  ms,  0  mm,  0  dBm 
381, 0  ms,  0  mm,  0  dBm 
382, 0  ms,  0  mm,  0  dBm 
383, 0  ms,  0  mm,  0  dBm 
384, 0  ms,  0  mm,  0  dBm 
385, 0  ms,  0  mm,  0  dBm 
386, 0  ms,  0  mm,  0  dBm 
387, 0  ms,  0  mm,  0  dBm 
388, 0  ms,  0  mm,  0  dBm 
389, 0  ms,  0  mm,  0  dBm 
390, 0  ms,  0  mm,  0  dBm 
391, 0  ms,  0  mm,  0  dBm 
392, 0  ms,  0  mm,  0  dBm 
393, 166671  ms,  2336  mm,  -79  dBm 
394, 166872  ms,  2331  mm,  -79  dBm 
395, 167136  ms,  2261  mm,  -79  dBm 
396, 167338  ms,  2341  mm,  -79  dBm 
397, 167540  ms,  2275  mm,  -79  dBm 
398, 167741  ms,  2289  mm,  -79  dBm 
399, 0  ms,  0  mm,  0  dBm 
400, 167972  ms,  2345  mm,  -79  dBm 
401, 168232  ms,  2331  mm,  -79  dBm 
402, 168432  ms,  2284  mm,  -79  dBm 
403, 168662  ms,  2341  mm,  -80  dBm 
404, 0  ms,  0  mm,  0  dBm 
405, 0  ms,  0  mm,  0  dBm 
406, 0  ms,  0  mm,  0  dBm 
407, 0  ms,  0  mm,  0  dBm 
408, 0  ms,  0  mm,  0  dBm 
409, 169078  ms,  2266  mm,  -79  dBm 
410, 169420  ms,  2345  mm,  -79  dBm 
411, 0  ms,  0  mm,  0  dBm 
412, 169714  ms,  2284  mm,  -79  dBm 
413, 169915  ms,  2327  mm,  -79  dBm 
414, 170210  ms,  2294  mm,  -79  dBm 
415, 170458  ms,  2350  mm,  -78  dBm 
416, 170659  ms,  2336  mm,  -79  dBm 
417, 170861  ms,  2341  mm,  -79  dBm 
418, 171062  ms,  2308  mm,  -79  dBm 
419, 171260  ms,  2308  mm,  -79  dBm 
420, 171491  ms,  2322  mm,  -79  dBm 
421, 171784  ms,  2336  mm,  -79  dBm 
422, 172046  ms,  2289  mm,  -79  dBm 
423, 172292  ms,  2322  mm,  -79  dBm 
424, 172569  ms,  2280  mm,  -79  dBm 
425, 172770  ms,  2331  mm,  -79  dBm 
426, 0  ms,  0  mm,  0  dBm 
427, 173107  ms,  2345  mm,  -79  dBm 
428, 173307  ms,  2261  mm,  -79  dBm 
429, 173506  ms,  2308  mm,  -79  dBm 
430, 173706  ms,  2327  mm,  -79  dBm 
431, 173906  ms,  2341  mm,  -79  dBm 
432, 174199  ms,  2303  mm,  -79  dBm 
433, 174399  ms,  2308  mm,  -79  dBm 
434, 174617  ms,  2350  mm,  -79  dBm 
435, 174819  ms,  2261  mm,  -80  dBm 
436, 175021  ms,  2327  mm,  -79  dBm 
437, 175223  ms,  2331  mm,  -80  dBm 
438, 175425  ms,  2303  mm,  -79  dBm 
439, 175627  ms,  2350  mm,  -79  dBm 
440, 175860  ms,  2355  mm,  -79  dBm 
441, 176061  ms,  2327  mm,  -79  dBm 
442, 176294  ms,  2345  mm,  -79  dBm 
443, 176495  ms,  2355  mm,  -79  dBm 
444, 176697  ms,  2266  mm,  -79  dBm 
445, 176946  ms,  2331  mm,  -79  dBm 
446, 177148  ms,  2341  mm,  -79  dBm 
447, 177350  ms,  2270  mm,  -79  dBm 
448, 0  ms,  0  mm,  0  dBm 
449, 177971  ms,  2350  mm,  -80  dBm 
450, 178234  ms,  2303  mm,  -79  dBm 
451, 178432  ms,  2275  mm,  -79  dBm 
452, 178632  ms,  2289  mm,  -79  dBm 
453, 178833  ms,  2289  mm,  -79  dBm 
454, 179035  ms,  2289  mm,  -79  dBm 
455, 179268  ms,  2289  mm,  -79  dBm 
456, 179501  ms,  2298  mm,  -79  dBm 
457, 179765  ms,  2270  mm,  -79  dBm 
458, 179967  ms,  2322  mm,  -79  dBm 
459, 180232  ms,  2331  mm,  -79  dBm 
460, 180432  ms,  2336  mm,  -79  dBm 
461, 180696  ms,  2308  mm,  -79  dBm 
462, 180929  ms,  2331  mm,  -79  dBm 
463, 181194  ms,  2322  mm,  -79  dBm 
464, 181458  ms,  2294  mm,  -79  dBm 
465, 181738  ms,  2280  mm,  -79  dBm 
466, 182003  ms,  2359  mm,  -79  dBm 
