count,data
267, 0  ms,  0  mm,  0  dBm 
268, 0  ms,  0  mm,  0  dBm 
269, 0  ms,  0  mm,  0  dBm 
270, 0  ms,  0  mm,  0  dBm 
271, 0  ms,  0  mm,  0  dBm 
272, 0  ms,  0  mm,  0  dBm 
273, 0  ms,  0  mm,  0  dBm 
274, 0  ms,  0  mm,  0  dBm 
275, 0  ms,  0  mm,  0  dBm 
276, 0  ms,  0  mm,  0  dBm 
277, 0  ms,  0  mm,  0  dBm 
278, 0  ms,  0  mm,  0  dBm 
279, 0  ms,  0  mm,  0  dBm 
280, 0  ms,  0  mm,  0  dBm 
281, 0  ms,  0  mm,  0  dBm 
282, 0  ms,  0  mm,  0  dBm 
283, 0  ms,  0  mm,  0  dBm 
284, 0  ms,  0  mm,  0  dBm 
285, 0  ms,  0  mm,  0  dBm 
286, 0  ms,  0  mm,  0  dBm 
287, 0  ms,  0  mm,  0  dBm 
288, 0  ms,  0  mm,  0  dBm 
289, 0  ms,  0  mm,  0  dBm 
290, 0  ms,  0  mm,  0  dBm 
291, 0  ms,  0  mm,  0  dBm 
292, 0  ms,  0  mm,  0  dBm 
293, 0  ms,  0  mm,  0  dBm 
294, 0  ms,  0  mm,  0  dBm 
295, 0  ms,  0  mm,  0  dBm 
296, 0  ms,  0  mm,  0  dBm 
297, 0  ms,  0  mm,  0  dBm 
298, 0  ms,  0  mm,  0  dBm 
299, 0  ms,  0  mm,  0  dBm 
300, 0  ms,  0  mm,  0  dBm 
301, 0  ms,  0  mm,  0  dBm 
302, 66298  ms,  306  mm,  -78  dBm 
303, 0  ms,  0  mm,  0  dBm 
304, 0  ms,  0  mm,  0  dBm 
305, 0  ms,  0  mm,  0  dBm 
306, 0  ms,  0  mm,  0  dBm 
307, 0  ms,  0  mm,  0  dBm 
308, 0  ms,  0  mm,  0  dBm 
309, 0  ms,  0  mm,  0  dBm 
310, 0  ms,  0  mm,  0  dBm 
311, 0  ms,  0  mm,  0  dBm 
312, 0  ms,  0  mm,  0  dBm 
313, 0  ms,  0  mm,  0  dBm 
314, 0  ms,  0  mm,  0  dBm 
315, 0  ms,  0  mm,  0  dBm 
316, 0  ms,  0  mm,  0  dBm 
317, 0  ms,  0  mm,  0  dBm 
318, 0  ms,  0  mm,  0  dBm 
319, 0  ms,  0  mm,  0  dBm 
320, 0  ms,  0  mm,  0  dBm 
321, 0  ms,  0  mm,  0  dBm 
322, 0  ms,  0  mm,  0  dBm 
323, 0  ms,  0  mm,  0  dBm 
324, 0  ms,  0  mm,  0  dBm 
325, 0  ms,  0  mm,  0  dBm 
326, 0  ms,  0  mm,  0  dBm 
327, 0  ms,  0  mm,  0  dBm 
328, 0  ms,  0  mm,  0  dBm 
329, 0  ms,  0  mm,  0  dBm 
330, 0  ms,  0  mm,  0  dBm 
331, 0  ms,  0  mm,  0  dBm 
332, 0  ms,  0  mm,  0  dBm 
333, 0  ms,  0  mm,  0  dBm 
334, 0  ms,  0  mm,  0  dBm 
335, 0  ms,  0  mm,  0  dBm 
336, 0  ms,  0  mm,  0  dBm 
337, 0  ms,  0  mm,  0  dBm 
338, 0  ms,  0  mm,  0  dBm 
339, 0  ms,  0  mm,  0  dBm 
340, 0  ms,  0  mm,  0  dBm 
341, 0  ms,  0  mm,  0  dBm 
342, 0  ms,  0  mm,  0  dBm 
343, 0  ms,  0  mm,  0  dBm 
344, 0  ms,  0  mm,  0  dBm 
345, 0  ms,  0  mm,  0  dBm 
346, 0  ms,  0  mm,  0  dBm 
347, 0  ms,  0  mm,  0  dBm 
348, 0  ms,  0  mm,  0  dBm 
349, 0  ms,  0  mm,  0  dBm 
350, 0  ms,  0  mm,  0  dBm 
351, 0  ms,  0  mm,  0  dBm 
352, 0  ms,  0  mm,  0  dBm 
353, 0  ms,  0  mm,  0  dBm 
354, 0  ms,  0  mm,  0  dBm 
355, 0  ms,  0  mm,  0  dBm 
356, 0  ms,  0  mm,  0  dBm 
357, 0  ms,  0  mm,  0  dBm 
358, 0  ms,  0  mm,  0  dBm 
359, 0  ms,  0  mm,  0  dBm 
360, 0  ms,  0  mm,  0  dBm 
361, 0  ms,  0  mm,  0  dBm 
362, 0  ms,  0  mm,  0  dBm 
363, 0  ms,  0  mm,  0  dBm 
364, 0  ms,  0  mm,  0  dBm 
365, 0  ms,  0  mm,  0  dBm 
366, 0  ms,  0  mm,  0  dBm 
367, 0  ms,  0  mm,  0  dBm 
368, 0  ms,  0  mm,  0  dBm 
369, 0  ms,  0  mm,  0  dBm 
370, 0  ms,  0  mm,  0  dBm 
