count,data
256, 333565  ms,  2411  mm,  -82  dBm 
257, 333796  ms,  2434  mm,  -81  dBm 
258, 0  ms,  0  mm,  0  dBm 
259, 334091  ms,  2448  mm,  -83  dBm 
260, 334463  ms,  2425  mm,  -82  dBm 
261, 334892  ms,  2430  mm,  -82  dBm 
262, 334892  ms,  2430  mm,  -82  dBm 
263, 335585  ms,  2448  mm,  -81  dBm 
264, 336031  ms,  2420  mm,  -81  dBm 
265, 336478  ms,  2434  mm,  -82  dBm 
266, 336802  ms,  2373  mm,  -80  dBm 
267, 337110  ms,  2402  mm,  -80  dBm 
268, 337532  ms,  2448  mm,  -81  dBm 
269, 0  ms,  0  mm,  0  dBm 
270, 0  ms,  0  mm,  0  dBm 
271, 337903  ms,  2369  mm,  -80  dBm 
272, 338135  ms,  2388  mm,  -79  dBm 
273, 338337  ms,  2430  mm,  -80  dBm 
274, 338567  ms,  2378  mm,  -79  dBm 
275, 338924  ms,  2430  mm,  -79  dBm 
276, 339312  ms,  2378  mm,  -79  dBm 
277, 339764  ms,  2448  mm,  -80  dBm 
278, 340106  ms,  2392  mm,  -80  dBm 
279, 340433  ms,  2458  mm,  -79  dBm 
280, 340634  ms,  2491  mm,  -80  dBm 
281, 340867  ms,  2416  mm,  -79  dBm 
282, 341066  ms,  2524  mm,  -81  dBm 
283, 341266  ms,  2486  mm,  -80  dBm 
284, 341466  ms,  2458  mm,  -80  dBm 
285, 341696  ms,  2477  mm,  -81  dBm 
286, 0  ms,  0  mm,  0  dBm 
287, 341926  ms,  2425  mm,  -80  dBm 
288, 342358  ms,  2467  mm,  -80  dBm 
289, 342684  ms,  2341  mm,  -79  dBm 
290, 342978  ms,  2345  mm,  -80  dBm 
